Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.06     0.00       46     0.00     0.19  void std::_Destroy<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > >(std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > >*)
  0.00      0.06     0.00       38     0.00     0.00  std::initializer_list<unsigned char>::begin() const
  0.00      0.06     0.00       38     0.00     0.00  unsigned char const* std::__miter_base<unsigned char const*>(unsigned char const*)
  0.00      0.06     0.00       38     0.00     0.00  unsigned char const* std::__niter_base<unsigned char const*>(unsigned char const*)
  0.00      0.06     0.00       36     0.00     0.00  std::_Vector_base<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > >, std::allocator<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > > >::_M_get_Tp_allocator()
  0.00      0.06     0.00       29     0.00     0.00  testing::AssertionResult testing::internal::CmpHelperEQ<std::vector<unsigned char, std::allocator<unsigned char> >, std::vector<unsigned char, std::allocator<unsigned char> > >(char const*, char const*, std::vector<unsigned char, std::allocator<unsigned char> > const&, std::vector<unsigned char, std::allocator<unsigned char> > const&)
  0.00      0.06     0.00       29     0.00     0.00  testing::AssertionResult testing::internal::CmpHelperNE<std::shared_ptr<std::vector<unsigned char, std::allocator<unsigned char> > >, decltype(nullptr)>(char const*, char const*, std::shared_ptr<std::vector<unsigned char, std::allocator<unsigned char> > > const&, decltype(nullptr) const&)
  0.00      0.06     0.00       29     0.00     0.00  testing::AssertionResult testing::internal::EqHelper::Compare<std::vector<unsigned char, std::allocator<unsigned char> >, std::vector<unsigned char, std::allocator<unsigned char> >, (void*)0>(char const*, char const*, std::vector<unsigned char, std::allocator<unsigned char> > const&, std::vector<unsigned char, std::allocator<unsigned char> > const&)
  0.00      0.06     0.00       29     0.00     0.00  std::shared_ptr<std::vector<unsigned char, std::allocator<unsigned char> > >::~shared_ptr()
  0.00      0.06     0.00       29     0.00     0.00  bool std::__equal<true>::equal<unsigned char>(unsigned char const*, unsigned char const*, unsigned char const*)
  0.00      0.06     0.00       29     0.00     0.00  bool std::__equal_aux<__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >)
  0.00      0.06     0.00       29     0.00     0.00  bool std::__equal_aux1<unsigned char const*, unsigned char const*>(unsigned char const*, unsigned char const*, unsigned char const*)
  0.00      0.06     0.00       29     0.00     0.00  bool std::equal<__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >)
  0.00      0.06     0.00       29     0.00     0.00  int std::__memcmp<unsigned char, unsigned char>(unsigned char const*, unsigned char const*, unsigned long)
